West
Los Angeles Lakers:	03/17/2017
San Antonio Spurs:	Playoffs
New Orleans Pelicans:	04/02/2017
Portland Trail Blazers:	Playoffs
Golden State Warriors:	Playoffs
Dallas Mavericks:	04/01/2017
Minnesota Timberwolves:	04/01/2017
Oklahoma City Thunder:	Playoffs
LA Clippers:	Playoffs
Memphis Grizzlies:	Playoffs
Utah Jazz:	Playoffs
Phoenix Suns:	03/21/2017
Sacramento Kings:	03/29/2017
Houston Rockets:	Playoffs
Denver Nuggets:	04/09/2017


East
Chicago Bulls:	Playoffs
Philadelphia 76ers:	03/28/2017
Detroit Pistons:	04/06/2017
Boston Celtics:	Playoffs
Miami Heat:	04/12/2017
Orlando Magic:	03/27/2017
New York Knicks:	03/28/2017
Washington Wizards:	Playoffs
Charlotte Hornets:	04/06/2017
Milwaukee Bucks:	Playoffs
Toronto Raptors:	Playoffs
Cleveland Cavaliers:	Playoffs
Atlanta Hawks:	Playoffs
Brooklyn Nets:	03/06/2017
Indiana Pacers:	Playoffs
